Company,Exchange,Symbol,Industry,Date added,Notes,Index weighting,,,
3M,NYSE,MMM,Conglomerate,8/9/1976,As Minnesota Mining and Manufacturing,0.0154,,,
American Express,NYSE,AXP,Financial services,8/30/1982,,0.0364,,,
Amgen,NASDAQ,AMGN,Biopharmaceutical,8/31/2020,,0.048,,,
Amazon,NASDAQ,AMZN,Retailing,2/26/2024,,0.0293,,,
Apple,NASDAQ,AAPL,Information technology,3/19/2015,,0.0304,,,
Boeing,NYSE,BA,Aerospace and defense,3/12/1987,,0.0336,,,
Caterpillar,NYSE,CAT,Construction and mining,5/6/1991,,0.0545,,,
Chevron,NYSE,CVX,Petroleum industry,2/19/2008,Also 1930-07-18 to 1999-11-01,0.0259,,,
Cisco,NASDAQ,CSCO,Information technology,6/8/2009,,0.0081,,,
Coca-Cola,NYSE,KO,Drink industry,3/12/1987,Also 1932-05-26 to 1935-11-20,0.0102,,,
Disney,NYSE,DIS,Broadcasting and entertainment,5/6/1991,,0.0181,,,
Dow,NYSE,DOW,Chemical industry,5/6/1991,,0.0094,,,
Goldman Sachs,NYSE,GS,Financial services,9/23/2013,,0.0654,,,
Home Depot,NYSE,HD,Home Improvement,11/1/1999,,0.0623,,,
Honeywell,NASDAQ,HON,Conglomerate,8/31/2020,AlliedSignal and Honeywell,0.0334,,,e
IBM,NYSE,IBM,Information technology,6/29/1979,Also 1932-05-26 to 1939-03-04,0.0309,,,
Intel,NASDAQ,INTC,Semiconductor industry,11/1/1999,,0.0072,,,
Johnson & Johnson,NYSE,JNJ,Pharmaceutical industry,3/17/1997,,0.027,,,
JPMorgan Chase,NYSE,JPM,Financial services,5/6/1991,,0.0307,,,
McDonald's,NYSE,MCD,Food industry,10/30/1985,,0.0498,,,
Merck,NYSE,MRK,Pharmaceutical industry,6/29/1979,,0.0216,,,
Microsoft,NASDAQ,MSFT,Information technology,11/1/1999,,0.0683,,,
Nike,NYSE,NKE,Clothing industry,9/23/2013,,0.0175,,,
Procter & Gamble,NYSE,PG,Fast-moving consumer goods,5/26/1932,,0.0269,,,
Salesforce,NYSE,CRM,Information technology,8/31/2020,,0.0504,,,
Travelers,NYSE,TRV,Insurance,6/8/2009,,0.0369,,,
UnitedHealth Group,NYSE,UNH,Managed health care,9/24/2012,,0.0881,,,
Verizon,NYSE,VZ,Telecommunications industry,4/8/2004,,0.0067,,,
Visa,NYSE,V,Financial services,9/23/2013,,0.0476,,,
Walmart,NYSE,WMT,Retailing,3/17/1997,,0.01,,,
