Ticker,Company
HAL,Halliburton Company
BKR,Baker Hughes Company
XOM,Exxon Mobil Corporation
CVX,Chevron Corporation
SLB,Schlumberger Limited
KMB,Kimberly-Clark Corporation
FMC,FMC Corporation
OXY,Occidental Petroleum Corporation
HP,Helmerich & Payne
CQP,Cheniere Energy Partners
PXD,Parsley Energy
NBL,Noble Energy
HES,Hess Corporation
NOV,National Oilwell Varco
MMP,Magellan Midstream Partners
KMI,Kinder Morgan
WMB,The Williams Companies
ETR,Targa Resources Corp.
RRC,Range Resources Corporation
DCP,DCP Midstream
GILD,Gilead Sciences Inc.
