Ticker,Company
AAPL,Apple Inc.
MSFT,Microsoft Corporation
GOOGL,Alphabet Inc.
AMZN,Amazon.com Inc.
TSLA,Tesla Inc.
FB,Meta Platforms Inc. (formerly Facebook)
NFLX,Netflix Inc.
NVDA,NVIDIA Corporation
ADBE,Adobe Inc.
CSCO,Cisco Systems Inc.
ORCL,Oracle Corporation
INTC,Intel Corporation
IBM,International Business Machines Corporation
ZM,Zoom Video Communications Inc.
SQ,Block Inc. (formerly Square)
PYPL,PayPal Holdings Inc.
SNAP,Snap Inc.
CRM,Salesforce.com Inc.
ASML,ASML Holding N.V.
NOW,ServiceNow Inc.
AVGO,Broadcom Inc.
TXN,Texas Instruments Incorporated
AMD,Advanced Micro Devices Inc.
SHOP,Shopify Inc.
WDAY,Workday Inc.
DOCU,DocuSign Inc.
PFE,Pfizer Inc. (for its tech advancements in healthcare)
DASH,DoorDash Inc.
RNG,RingCentral Inc.
FSLY,Fastly Inc.
CLOV,Clover Health Investments Corp.
TTD,The Trade Desk Inc.
MDB,MongoDB Inc.
FIVN,Five9 Inc.
SPLK,Splunk Inc.
ZM,Zoom Video Communications Inc.
